Taxonomic lineage (GENUS)	Taxonomic lineage (SPECIES)	Taxonomic lineage IDs (GENUS)	Taxonomic lineage IDs (SPECIES)	KEGG	KO	EC number	COG ID	MP1	MP2	MP3	MP4
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0111				5121.09130519246	4925.27045927453	10459.950538356	11074.4427428015
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2181				0.0	0.0	48.7488426742574	62.4072080793119
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_3500	K01417,K01802,K00870,K00754,K01417	3.4.24.-	COG4783	48.8908213479578	43.8477929695588	83.0946181947569	91.9087973531684
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1177				1466.72464043874	1476.50731428106	2077.36545486892	1843.84932961603
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1853				448.017708352195	415.21175383419	591.633681546669	692.152671425095
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1071	K00577	2.1.1.86	COG4063	50.6686693969745	42.9529400518127	81.9866899521602	95.3128268847672
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1032	K20276			39.1126570783663	21.4764700259064	79.7708334669666	72.6192966741084
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_3413	K10439,K10543,K10543,K10543,K10543,K10439,K10439	2.7.13.3	COG2984	24.8898726862331	18.7919112726681	58.7201968576282	49.9257664634495
Methanothrix	Methanothrix harundinacea	2222.0	301375.0	mhi:Mhar_1849	K01077,K01133,K01133,K01138,K01138	2.8.1.6	COG3119	156.450628313465	116.330879306993	53.1805556446444	13.6161181263953
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_3505	K01417,K01802,K00870,K00754,K01417	3.4.24.-	COG4783	15855.737825155	6840.25570325118	25085.7112688758	32030.7832158344
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2937				280.011067720122	128.858820155438	485.27257025738	667.189788193371
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2406				92.4480985488657	121.699996813469	186.131944756256	254.167538359379
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1854				78.2253141567325	85.9058801036255	115.224537230063	145.238593348217
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2147	K00402	2.8.4.1		17.7784804901665	28.6352933678752	0.0	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_3428				27.5566447597581	23.2661758613986	48.7488426742574	41.9830308897189
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0209	K23269	6.3.5.3	COG0046	56.0022135440244	32.2147050388596	9.97135418337083	0.0
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2148	K00399	2.8.4.1	COG4058	304.012016381847	305.14484495142	188.347801241449	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2185				26.6677207352497	100.223526787563	144.030671537579	165.66277053781
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0723				57.7800615930411	31.3198521211135	79.7708334669666	116.871680584893
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0474				0.888924024508324	1.7897058354922	15.5109953963546	12.4814416158624
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1455	K00620	2.3.1.1,2.3.1.35	COG1364	3.5556960980333	0.0	15.5109953963546	13.6161181263953
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1818	K00754,K00754,K00721,K00754,K00754,K00754,K00754,K00754	3.1.3.3	COG0463	13.3338603676249	24.1610287791447	0.0	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0733				14.2227843921332	24.1610287791447	36.561632005693	37.4443248475871
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1153				13626.3163716881	8082.31155308276	15275.0066806815	16244.0289247896
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2144	K00401	2.8.4.1	COG4054	11.5560123186082	18.7919112726681	0.0	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_3533				0.888924024508324	0.894852917746099	9.97135418337083	13.6161181263953
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2184				21.3341765881998	12.5279408484454	35.4537037630963	68.0805906319766
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0			2.7.7.6		0.0	0.0	13.2951389111611	9.07741208426354
